id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
163,2020-9-6-23-49-20-24173,1,10588,5016,-316,-1504,5546,561
164,2020-9-6-23-49-20-24380,2,3584,-14356,-5240,-1408,-3637,-10449
165,2020-9-6-23-49-20-24442,3,-4972,-15924,2284,-2080,3509,883
166,2020-9-6-23-49-21-24637,4,6648,-23748,32767,-1904,-8517,-32768
167,2020-9-6-23-49-21-24675,1,-7988,5648,-29996,-1504,-231,5803
168,2020-9-6-23-49-21-24882,2,1656,-12356,5672,-1456,3584,306
169,2020-9-6-23-49-21-24944,3,1432,-15720,-3888,-2128,-2054,23
170,2020-9-6-23-49-21-25136,4,7732,1900,6188,-1904,2276,17055
171,2020-9-6-23-49-21-25177,1,8240,4760,-2724,-1520,-5681,10703
172,2020-9-6-23-49-21-25384,2,-908,-16296,1860,-1392,-1231,2487
173,2020-9-6-23-49-21-25446,3,-848,-14052,1092,-2064,-1698,7139
174,2020-9-6-23-49-22-25644,4,15884,-2316,9476,-1904,-301,6453
175,2020-9-6-23-49-22-25680,1,14064,2256,-116,-1504,4961,24537
176,2020-9-6-23-49-22-25886,2,-4060,-16704,-1564,-1456,-5205,508
177,2020-9-6-23-49-22-25947,3,-5616,-20704,-984,-2096,1626,362
178,2020-9-6-23-49-22-26141,4,8872,-4164,6812,-1920,-906,32767
179,2020-9-6-23-49-22-26183,1,12736,-2172,-7360,-1488,-5672,-32768
180,2020-9-6-23-49-22-26391,2,-3048,-16592,16,-1408,-6354,-3071
181,2020-9-6-23-49-22-26451,3,-448,-15672,-2884,-2112,4545,-420
182,2020-9-6-23-49-23-26643,4,7584,-8252,26292,-1920,4635,-17239
183,2020-9-6-23-49-23-26684,1,6256,2916,-15224,-1504,-9774,14764
184,2020-9-6-23-49-23-26890,2,-2120,-18776,-4552,-1440,-1793,2335
185,2020-9-6-23-49-23-26952,3,-1884,-15668,-4500,-2080,1120,806
186,2020-9-6-23-49-23-27144,4,8524,340,6140,-1920,-5465,-9995
187,2020-9-6-23-49-23-27184,1,10660,1264,-16508,-1488,5032,969
188,2020-9-6-23-49-23-27390,2,108,-21376,2880,-1424,750,4953
189,2020-9-6-23-49-23-27454,3,-5936,-17264,2136,-2112,-6533,-896
190,2020-9-6-23-49-24-27647,4,13560,-4060,3288,-1920,3089,10134
191,2020-9-6-23-49-24-27688,1,14288,-4088,-4208,-1536,-579,-2319
192,2020-9-6-23-49-24-27893,2,-1292,-16788,1772,-1424,-734,-17
193,2020-9-6-23-49-24-27958,3,-2052,-18640,-3640,-2080,3452,-22657
194,2020-9-6-23-49-24-28150,4,5980,-2320,9960,-1936,-5523,20940
195,2020-9-6-23-49-24-28199,1,772,1148,-11108,-1504,13036,-9965
196,2020-9-6-23-49-24-28396,2,-1460,-15992,-1316,-1424,-8512,-46
197,2020-9-6-23-49-24-28460,3,-1676,-14876,2988,-2080,5675,3669
198,2020-9-6-23-49-25-28651,4,-2208,4592,22464,-1904,3854,6284
199,2020-9-6-23-49-25-28700,1,680,3060,-5996,-1488,-28269,-23544
200,2020-9-6-23-49-25-28897,2,-3692,-16712,-2576,-1424,6689,2340
201,2020-9-6-23-49-25-28960,3,-2596,-16040,1620,-2112,-10274,-1793
202,2020-9-6-23-49-25-29153,4,22732,-15112,25012,-1936,2947,-9949
203,2020-9-6-23-49-25-29194,1,12240,7148,-6900,-1472,-15196,11818
204,2020-9-6-23-49-25-29400,2,-1688,-16580,992,-1424,-3520,-2591
205,2020-9-6-23-49-25-29462,3,-4980,-16096,-1128,-2080,1761,1896
206,2020-9-6-23-49-26-29655,4,23044,-5372,14640,-1936,9565,-15551
207,2020-9-6-23-49-26-29695,1,13492,6400,-17008,-1488,-17320,32767
208,2020-9-6-23-49-26-29900,2,2684,-16356,0,-1408,-927,-4004
209,2020-9-6-23-49-26-29963,3,-5908,-15420,2628,-2080,-1670,-131
210,2020-9-6-23-49-26-30156,4,12064,2032,-2988,-1936,3087,32767
211,2020-9-6-23-49-26-30197,1,2064,1476,5804,-1504,5317,-27983
212,2020-9-6-23-49-26-30402,2,-1528,-17572,-728,-1440,756,2128
213,2020-9-6-23-49-26-30465,3,-1132,-17196,-4212,-2112,6496,-2370
214,2020-9-6-23-49-27-30658,4,13676,-8448,7088,-1904,-2666,2789
215,2020-9-6-23-49-27-30698,1,12752,-16212,-5636,-1504,15689,-12926
216,2020-9-6-23-49-27-30905,2,-2352,-16504,1104,-1424,-1505,-1968
217,2020-9-6-23-49-27-30970,3,-2332,-18624,-892,-2144,12999,-7996
218,2020-9-6-23-49-27-31161,4,13992,-5160,5880,-1904,1776,-729
219,2020-9-6-23-49-27-31201,1,3904,-15008,-704,-1488,-1635,-10520
220,2020-9-6-23-49-27-31408,2,-2440,-15480,596,-1424,5760,1344
221,2020-9-6-23-49-27-31468,3,792,-22952,3592,-2096,-29017,574
222,2020-9-6-23-49-28-31664,4,11752,-7400,5984,-1904,-2374,2720
223,2020-9-6-23-49-28-31703,1,6308,-16724,-764,-1488,-6398,-1242
224,2020-9-6-23-49-28-31912,2,-2512,-14284,-4544,-1408,-5625,4169
225,2020-9-6-23-49-28-31971,3,-3220,-17136,-544,-2144,369,357
226,2020-9-6-23-49-28-32165,4,13500,-6140,7036,-1888,-5425,2937
227,2020-9-6-23-49-28-32207,1,3832,-11588,-4240,-1472,-1458,3367
228,2020-9-6-23-49-28-32412,2,1464,-17016,-1400,-1408,-3498,845
229,2020-9-6-23-49-28-32474,3,-3068,-16172,-3444,-2080,716,-254
230,2020-9-6-23-49-29-32666,4,16460,-7968,6288,-1904,-558,-773
231,2020-9-6-23-49-29-32707,1,6924,-15644,-3884,-1488,-1038,-2711
232,2020-9-6-23-49-29-32915,2,1256,-16380,-2080,-1424,-238,547
233,2020-9-6-23-49-29-32975,3,-3132,-16040,-3476,-2096,-1247,146
234,2020-9-6-23-49-29-33171,4,15376,-7196,5776,-1904,-1860,5560
235,2020-9-6-23-49-29-33208,1,6020,-14388,-4064,-1472,779,-1027
236,2020-9-6-23-49-29-33414,2,1392,-16692,-1716,-1408,-296,456
237,2020-9-6-23-49-29-33477,3,-2716,-16024,-3636,-2112,15,372
238,2020-9-6-23-49-30-33670,4,13072,-5896,5068,-1936,166,-871
239,2020-9-6-23-49-30-33711,1,6648,-14860,-4756,-1488,-638,365
240,2020-9-6-23-49-30-33916,2,1008,-16524,-1640,-1424,-3756,-5029
241,2020-9-6-23-49-30-33980,3,-2996,-16104,-3232,-2096,-197,-937
242,2020-9-6-23-49-30-34178,4,15068,-6708,4016,-1936,4310,-2747
243,2020-9-6-23-49-30-34219,1,6524,-14932,-6308,-1504,2143,-2022
244,2020-9-6-23-49-30-34430,2,-1456,-16844,-68,-1424,2958,-3302
245,2020-9-6-23-49-30-34492,3,100,-16376,-2768,-2080,79,-1748
246,2020-9-6-23-49-31-34676,4,12688,-6540,4092,-1904,3862,5103
247,2020-9-6-23-49-31-34714,1,5172,-15600,-3672,-1488,314,-2716
248,2020-9-6-23-49-31-34920,2,-1316,-16600,1152,-1424,-352,-1699
249,2020-9-6-23-49-31-34983,3,-1524,-16340,5032,-2096,5572,-288
250,2020-9-6-23-49-31-35176,4,14156,-5160,7420,-1904,-1914,3345
251,2020-9-6-23-49-31-35217,1,6376,-15196,-2652,-1488,-1757,647
252,2020-9-6-23-49-31-35424,2,-1348,-16524,1416,-1408,133,835
253,2020-9-6-23-49-31-35486,3,220,-16568,-628,-2096,-241,-242
254,2020-9-6-23-49-32-35679,4,12136,-6304,7944,-1904,-962,4502
255,2020-9-6-23-49-32-35720,1,4908,-15740,-3060,-1488,-1107,-582
256,2020-9-6-23-49-32-35924,2,-1340,-16336,1724,-1392,-139,201
257,2020-9-6-23-49-32-35989,3,1348,-16464,-1716,-2096,-889,-821
258,2020-9-6-23-49-32-36181,4,13996,-6932,6176,-1904,-682,837
259,2020-9-6-23-49-32-36222,1,5664,-15936,-4020,-1488,-1878,-1979
260,2020-9-6-23-49-32-36428,2,-1672,-16308,2152,-1408,-519,-43
261,2020-9-6-23-49-32-36488,3,2016,-16636,-1960,-2128,152,333
262,2020-9-6-23-49-33-36682,4,14280,-6340,6184,-1920,263,-846
263,2020-9-6-23-49-33-36723,1,5856,-15808,-3952,-1488,-1047,-205
264,2020-9-6-23-49-33-36929,2,-1736,-16396,1812,-1456,-484,59
265,2020-9-6-23-49-33-36990,3,1712,-16388,-2100,-2128,-64,173
266,2020-9-6-23-49-33-37185,4,13840,-6488,8172,-1936,-861,2011
267,2020-9-6-23-49-33-37227,1,5380,-15968,-3792,-1504,-1347,732
268,2020-9-6-23-49-33-37430,2,-1580,-16404,1676,-1440,-440,67
269,2020-9-6-23-49-33-37493,3,1724,-16384,-1784,-2112,-244,-152
270,2020-9-6-23-49-34-37686,4,13304,-6012,8836,-1920,-134,-1901
271,2020-9-6-23-49-34-37729,1,4984,-15868,-3720,-1488,-554,-235
272,2020-9-6-23-49-34-37932,2,-1732,-16376,2056,-1424,-261,251
273,2020-9-6-23-49-34-37995,3,1676,-16480,-2056,-2112,-337,-220
