id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
125,2020-9-6-1-15-7-20177,2,-2020,-15888,1728,-3488,-1248,1449
126,2020-9-6-1-15-7-20264,4,1432,-11940,10868,-3824,4518,-2526
127,2020-9-6-1-15-8-20356,3,4332,-12592,9052,-4112,370,-16498
128,2020-9-6-1-15-8-20665,1,6084,-15096,-8508,-3456,-3000,4088
129,2020-9-6-1-15-8-20678,2,-956,-16588,-900,-3504,1007,1493
130,2020-9-6-1-15-8-20767,4,2536,-13408,9200,-3824,-4625,3855
131,2020-9-6-1-15-8-20858,3,800,-15904,4360,-4064,3551,1824
132,2020-9-6-1-15-8-21175,1,8660,-12156,-7476,-3472,-8093,11021
133,2020-9-6-1-15-8-21191,2,-4904,-16684,-1500,-3488,-29,3756
134,2020-9-6-1-15-8-21290,4,976,-18100,6692,-3856,-6739,9690
135,2020-9-6-1-15-9-21359,3,-700,-5380,-396,-4128,-16291,14269
136,2020-9-6-1-15-9-21666,1,14208,-6812,-9132,-3456,-5162,3107
137,2020-9-6-1-15-9-21683,2,-5820,-15956,-3308,-3504,-2142,2827
138,2020-9-6-1-15-9-21769,4,2172,-14868,2696,-3840,202,4472
139,2020-9-6-1-15-9-21861,3,7328,-11880,-2472,-4096,4077,-9515
140,2020-9-6-1-15-9-22168,1,7468,-6820,-15076,-3440,-5515,96
141,2020-9-6-1-15-9-22185,2,6068,-10588,-5068,-3504,17145,-5833
142,2020-9-6-1-15-9-22272,4,-4092,-16572,-1728,-3840,-4307,469
143,2020-9-6-1-15-10-22364,3,604,-17576,-1300,-4112,4737,-3006
144,2020-9-6-1-15-10-22671,1,13416,-5428,-14772,-3488,-837,15022
145,2020-9-6-1-15-10-22685,2,-2760,-17532,-40,-3488,-619,77
146,2020-9-6-1-15-10-22776,4,3112,-12228,3244,-3824,4057,7339
147,2020-9-6-1-15-10-22867,3,-1024,-8984,820,-4112,-6068,8428
148,2020-9-6-1-15-10-23172,1,11348,-11364,-7156,-3456,-9564,9481
