id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
1065,2020-9-6-1-25-11-137669,2,-7372,-13232,-6052,-3472,-588,69
1066,2020-9-6-1-25-11-137764,4,4816,5940,14104,-3824,6416,-6709
1067,2020-9-6-1-25-11-137854,3,-4888,-12592,7856,-3952,-337,-487
1068,2020-9-6-1-25-12-138165,1,16456,3696,-5472,-3280,-648,617
1069,2020-9-6-1-25-12-138171,2,-7492,-13148,-5956,-3472,-473,92
1070,2020-9-6-1-25-12-138293,4,5144,3656,9228,-3856,7795,-7832
1071,2020-9-6-1-25-12-138354,3,-4860,-12588,7612,-3904,-321,-386
1072,2020-9-6-1-25-12-138665,1,16512,3728,-5000,-3248,-514,-157
1073,2020-9-6-1-25-12-138670,2,-7452,-13068,-5912,-3488,-323,49
1074,2020-9-6-1-25-12-138769,4,2708,1908,4848,-3872,2790,2850
1075,2020-9-6-1-25-12-138857,3,-5004,-12684,7884,-3920,-203,72
1076,2020-9-6-1-25-13-139167,1,16364,3968,-4580,-3264,-604,16
1077,2020-9-6-1-25-13-139172,2,-7356,-13432,-5800,-3472,-200,196
1078,2020-9-6-1-25-13-139275,4,3352,1884,4064,-3840,-8059,-2545
1079,2020-9-6-1-25-13-139365,3,-4936,-12412,8024,-3936,-255,-75
1080,2020-9-6-1-25-13-139673,1,16120,4416,-5580,-3280,-459,-276
1081,2020-9-6-1-25-13-139679,2,-7788,-12972,-5940,-3488,-549,80
1082,2020-9-6-1-25-13-139773,4,10316,712,20788,-3840,-242,-214
1083,2020-9-6-1-25-13-139869,3,-4816,-12632,7784,-3920,-241,7
1084,2020-9-6-1-25-14-140188,1,16588,3792,-4620,-3280,-601,147
1085,2020-9-6-1-25-14-140202,2,-7528,-13376,-5940,-3488,-406,6
1086,2020-9-6-1-25-14-140275,4,6912,1116,15384,-3840,-292,-72
1087,2020-9-6-1-25-14-140362,3,-4864,-12560,8068,-3936,-280,-57
