id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
738,2020-9-7-0-6-8-126671,3,-2400,-15408,3340,-2080,274,102
739,2020-9-7-0-6-8-126912,1,10784,9880,-10456,-1376,-1188,6466
740,2020-9-7-0-6-8-126917,4,14204,60,-1080,-2560,-9368,-1742
741,2020-9-7-0-6-8-127107,2,-7472,-13656,-4676,-1200,-408,157
742,2020-9-7-0-6-8-127174,3,-2420,-15544,3216,-2064,-179,-79
743,2020-9-7-0-6-9-127413,1,9572,5128,-13356,-1376,1367,-534
744,2020-9-7-0-6-9-127421,4,17632,-764,-2128,-2560,3447,2324
745,2020-9-7-0-6-9-127608,2,-7688,-13704,-4596,-1184,-236,179
746,2020-9-7-0-6-9-127687,3,-2336,-15496,3360,-2064,-362,-169
747,2020-9-7-0-6-9-127932,1,3724,3652,-16716,-1376,-5671,12705
748,2020-9-7-0-6-9-127936,4,17392,1388,3000,-2608,-978,354
749,2020-9-7-0-6-9-128110,2,-7544,-13788,-4688,-1216,-501,80
750,2020-9-7-0-6-9-128179,3,-2312,-15708,2964,-2064,-292,-131
751,2020-9-7-0-6-10-128418,1,-2704,4604,-20188,-1408,-1331,-3835
752,2020-9-7-0-6-10-128424,4,15808,976,440,-2576,-1624,3279
753,2020-9-7-0-6-10-128612,2,-7596,-13660,-4728,-1216,-402,174
754,2020-9-7-0-6-10-128680,3,-2660,-15504,3172,-2048,-248,-156
755,2020-9-7-0-6-10-128919,1,-8064,6108,-13816,-1376,-783,2570
756,2020-9-7-0-6-10-128926,4,16432,1400,-5032,-2512,-182,6256
757,2020-9-7-0-6-10-129128,2,-7464,-13692,-4808,-1200,-380,133
758,2020-9-7-0-6-10-129190,3,-2592,-15460,3120,-2112,-285,-80
759,2020-9-7-0-6-11-129423,1,-10248,6732,-14500,-1376,-580,-65
760,2020-9-7-0-6-11-129427,4,16756,684,-2604,-2528,-2785,1011
761,2020-9-7-0-6-11-129616,2,-7452,-13644,-4684,-1216,-364,190
762,2020-9-7-0-6-11-129684,3,-2548,-15552,3220,-2064,-233,-83
763,2020-9-7-0-6-11-129925,1,-10656,6944,-13428,-1360,-1165,-409
764,2020-9-7-0-6-11-129930,4,15936,1380,-1944,-2544,-2472,-2198
765,2020-9-7-0-6-11-130119,2,-7500,-13728,-4836,-1168,-404,153
766,2020-9-7-0-6-11-130185,3,-2604,-15480,3008,-2080,-299,3
767,2020-9-7-0-6-12-130425,1,-9988,6936,-12324,-1360,-590,436
768,2020-9-7-0-6-12-130432,4,14864,196,636,-2544,-2673,4748
769,2020-9-7-0-6-12-130621,2,-7652,-13696,-4776,-1184,-385,151
770,2020-9-7-0-6-12-130688,3,-2584,-15512,3044,-2080,-292,-108
771,2020-9-7-0-6-12-130927,1,-11612,5912,-10764,-1360,394,-601
772,2020-9-7-0-6-12-130936,4,16172,2740,-664,-2560,3865,3776
773,2020-9-7-0-6-12-131121,2,-7512,-13708,-4692,-1216,-401,144
774,2020-9-7-0-6-12-131191,3,-2512,-15544,3044,-2096,-308,-140
775,2020-9-7-0-6-13-131430,1,-9040,4724,-13048,-1376,-619,1247
776,2020-9-7-0-6-13-131436,4,15708,2808,5220,-2528,-1194,-2603
777,2020-9-7-0-6-13-131624,2,-7472,-13716,-4748,-1184,-390,153
778,2020-9-7-0-6-13-131692,3,-2500,-15348,3164,-2080,-385,-53
779,2020-9-7-0-6-13-131932,1,-1872,3364,-17744,-1360,-1274,-1609
780,2020-9-7-0-6-13-131937,4,14372,3076,5756,-2544,2550,3249
781,2020-9-7-0-6-13-132126,2,-7476,-13716,-4840,-1232,-452,122
782,2020-9-7-0-6-13-132194,3,-2504,-15640,3020,-2048,-240,-69
783,2020-9-7-0-6-14-132437,1,-2336,5596,-17952,-1360,-5152,-18457
784,2020-9-7-0-6-14-132440,4,14360,1868,11852,-2528,-933,-11807
785,2020-9-7-0-6-14-132627,2,-7380,-13824,-4936,-1216,-316,400
786,2020-9-7-0-6-14-132696,3,-2584,-15472,3296,-2064,-42,-47
787,2020-9-7-0-6-14-132935,1,-7420,5268,-17652,-1376,-214,15542
788,2020-9-7-0-6-14-132941,4,18080,-36,-456,-2512,-4953,675
789,2020-9-7-0-6-14-133129,2,-7340,-13756,-4908,-1200,-298,127
790,2020-9-7-0-6-14-133197,3,-2564,-15484,3148,-2080,-376,-76
791,2020-9-7-0-6-15-133437,1,9728,5408,-14400,-1376,-3339,537
792,2020-9-7-0-6-15-133444,4,15828,-336,4164,-2544,-4210,-3756
793,2020-9-7-0-6-15-133632,2,-7316,-13812,-4704,-1200,8,310
794,2020-9-7-0-6-15-133699,3,-2496,-15464,3320,-2080,70,-24
795,2020-9-7-0-6-15-133940,1,12400,6296,-10136,-1392,2480,9680
796,2020-9-7-0-6-15-133945,4,16712,2644,6816,-2496,-585,2546
797,2020-9-7-0-6-15-134134,2,-7476,-13712,-4388,-1232,-47,486
798,2020-9-7-0-6-15-134203,3,-2300,-15444,3384,-2096,-419,-200
799,2020-9-7-0-6-16-134442,1,17528,1856,-5368,-1376,-1824,-1850
800,2020-9-7-0-6-16-134447,4,16916,-1804,1496,-2528,-405,-843
801,2020-9-7-0-6-16-134636,2,-776,-13376,1080,-1232,10611,6769
802,2020-9-7-0-6-16-134705,3,-2480,-15228,3656,-2032,163,-19
