id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
774,2020-9-6-0-54-46-101305,2,-11412,-9224,-6740,-3360,-417,-358
775,2020-9-6-0-54-46-101340,1,14796,2212,-10300,-2976,-1019,-61
776,2020-9-6-0-54-47-101424,3,-8192,-9192,9204,-3904,-301,-71
777,2020-9-6-0-54-47-101684,4,15672,1164,4704,-3616,-26,-196
778,2020-9-6-0-54-47-101791,2,-11496,-9028,-6780,-3344,-376,35
779,2020-9-6-0-54-47-101848,1,15056,2104,-9672,-2992,-644,-121
780,2020-9-6-0-54-47-101936,3,-8268,-9224,9148,-3856,-245,-93
781,2020-9-6-0-54-47-102184,4,15580,764,3944,-3616,-354,-1077
782,2020-9-6-0-54-47-102293,2,-11448,-9092,-6760,-3392,-394,19
783,2020-9-6-0-54-48-102401,1,14972,2308,-10092,-2992,-649,-96
784,2020-9-6-0-54-48-102427,3,-8116,-9304,9216,-3872,-279,-127
785,2020-9-6-0-54-48-102686,4,15736,1396,5776,-3584,-382,262
786,2020-9-6-0-54-48-102797,2,-11508,-9056,-6780,-3392,-436,-131
787,2020-9-6-0-54-48-102936,1,14912,2284,-9972,-2976,-759,-278
788,2020-9-6-0-54-48-102944,3,-8176,-9188,9028,-3888,-242,-96
789,2020-9-6-0-54-48-103186,4,15784,1480,5596,-3600,-776,870
790,2020-9-6-0-54-48-103298,2,-11428,-9036,-6584,-3360,-426,-34
791,2020-9-6-0-54-48-103350,1,14900,2460,-10092,-2992,-751,-123
792,2020-9-6-0-54-49-103431,3,-8088,-9328,9080,-3872,-311,-91
793,2020-9-6-0-54-49-103690,4,15356,1896,6336,-3568,-253,178
794,2020-9-6-0-54-49-103803,2,-11568,-9012,-6580,-3376,-360,74
795,2020-9-6-0-54-49-103855,1,14760,2348,-10000,-2976,-622,-81
796,2020-9-6-0-54-49-103935,3,-8280,-9332,9184,-3872,-281,-109
797,2020-9-6-0-54-49-104195,4,15124,1964,7284,-3600,-749,74
798,2020-9-6-0-54-49-104330,2,-11768,-9040,-6408,-3376,-510,-408
799,2020-9-6-0-54-49-104351,1,14740,2308,-10112,-2960,-643,58
800,2020-9-6-0-54-50-104435,3,-8352,-9380,9024,-3856,-276,-105
801,2020-9-6-0-54-50-104696,4,15792,1940,4820,-3600,-1725,-1639
802,2020-9-6-0-54-50-104803,2,-11588,-9088,-6424,-3360,-411,118
803,2020-9-6-0-54-50-104855,1,14792,2436,-10260,-3008,-726,-240
804,2020-9-6-0-54-50-104938,3,-8112,-9244,9148,-3872,-260,-148
805,2020-9-6-0-54-50-105194,4,15460,1892,6908,-3616,-536,367
806,2020-9-6-0-54-50-105305,2,-11508,-9108,-6532,-3392,-396,-53
