id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
166,2020-9-6-1-8-40-24747,4,188,-4948,10704,-3840,-4562,7820
167,2020-9-6-1-8-40-24843,3,23204,-17332,-10060,-4080,8236,-1897
168,2020-9-6-1-8-40-25147,1,-9144,-7848,-8176,-3392,-1522,1194
169,2020-9-6-1-8-40-25170,2,-696,-14848,-1056,-3456,-2356,-4012
170,2020-9-6-1-8-40-25248,4,1092,-13904,6380,-3856,3489,-4915
171,2020-9-6-1-8-41-25342,3,-84,-16508,-1268,-4096,297,-1011
172,2020-9-6-1-8-41-25648,1,-7372,-15684,-10704,-3376,11993,14381
173,2020-9-6-1-8-41-25671,2,1076,-16956,-28,-3456,1689,2260
174,2020-9-6-1-8-41-25751,4,2884,-5736,9640,-3872,-16921,-2282
175,2020-9-6-1-8-41-25847,3,-292,-15800,-92,-4064,4930,-1842
176,2020-9-6-1-8-41-26156,1,-18000,-12040,428,-3392,-1204,2056
177,2020-9-6-1-8-41-26190,2,3396,-17884,1188,-3440,-3721,-1358
178,2020-9-6-1-8-41-26253,4,2068,-19068,11444,-3840,-2710,1704
179,2020-9-6-1-8-42-26347,3,-4912,-15640,2368,-4048,482,814
180,2020-9-6-1-8-42-26653,1,-6920,-7880,-7332,-3456,-5232,820
181,2020-9-6-1-8-42-26677,2,488,-15464,3424,-3424,3376,-17938
182,2020-9-6-1-8-42-26755,4,4944,-12936,6180,-3840,5231,-2168
183,2020-9-6-1-8-42-26850,3,-1304,-15476,-5864,-4080,8647,3515
184,2020-9-6-1-8-42-27155,1,-3528,-8820,-13640,-3440,-3064,711
185,2020-9-6-1-8-42-27177,2,-992,-16724,544,-3424,-3984,-1715
186,2020-9-6-1-8-42-27258,4,4572,-7996,11596,-3872,-229,-6205
187,2020-9-6-1-8-43-27350,3,-22852,-15692,32767,-4032,8212,-314
188,2020-9-6-1-8-43-27659,1,-13908,5156,-2492,-3440,3511,14103
